,ds,yhat,yhat_lower,yhat_upper
2685,2003-02-25,590.467010428158,509.5620905479722,675.165234510888
2686,2003-02-26,593.8268234856132,513.2954658300622,671.6084517861661
2687,2003-02-27,596.2058371439907,515.541412645871,679.1019121844538
2688,2003-02-28,604.236372703474,528.8061586634618,689.5225108550932
2689,2003-03-01,583.9314241910694,503.50121543244194,665.2497471185619
2690,2003-03-02,546.1058404765365,469.0983934265164,625.5398486072593
2691,2003-03-03,617.0448909550172,534.90997943114,703.8093092383291
2692,2003-03-04,631.867564001029,550.8679923970584,715.1188966529859
2693,2003-03-05,637.03284418832,559.016877510195,718.7381527349455
2694,2003-03-06,640.6718101468489,562.6809110555304,725.1504290675484
2695,2003-03-07,649.3896852836249,567.4725610936872,733.5512612908665
2696,2003-03-08,629.1872131022038,553.1936607379872,704.6520301530775
2697,2003-03-09,590.8821747931834,511.44488093628297,669.744320887311
2698,2003-03-10,660.7778673530836,582.189162417786,739.0160244469472
2699,2003-03-11,674.0258953879026,591.4509177537764,752.8916719587728
2700,2003-03-12,677.1315385178918,593.352875653429,758.0575960007153
2701,2003-03-13,678.2845636203592,600.6783602632752,755.6927766753078
2702,2003-03-14,684.1596521106914,606.7092635746804,763.7985958622062
2703,2003-03-15,660.8358614163036,582.5226473201096,737.8865734225892
2704,2003-03-16,619.2159937740223,541.924630831254,698.4691623478217
2705,2003-03-17,685.6927524494911,600.868321032071,765.9983580337621
2706,2003-03-18,695.5091049466714,619.395704500733,774.6828464987216
2707,2003-03-19,695.2611841561798,618.7126426545765,773.3610037565992
2708,2003-03-20,693.2266663254951,612.2391583324246,769.9966433867401
2709,2003-03-21,696.1628642986589,614.7010709217933,781.1049731475318
2710,2003-03-22,670.2240200642161,585.950562121044,748.1067985531486
2711,2003-03-23,626.3787294140342,549.1119067435222,705.573948267309
2712,2003-03-24,691.0744315859012,611.310427766205,763.3152574105579
2713,2003-03-25,699.5964278579481,619.1143060978044,775.6991926531742
2714,2003-03-26,698.569794848965,619.1878747943489,779.1051290386463
2715,2003-03-27,696.2871556922236,616.6237653977607,774.780090883712
2716,2003-03-28,699.5065606687455,621.2097150678977,777.3598034953103
2717,2003-03-29,636.6439300393458,560.4993021896006,718.6487151629603
2718,2003-03-30,631.8162132842023,550.1766620710246,709.4326389579907
2719,2003-03-31,698.2564837324614,614.4606443599266,777.8331840852538
